IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen,Malicious
17,10.215.173.1,43540,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,graph.facebook.com,64,104,1,1,2026-09-02T14:07:03.605+05:30,2026-09-02T14:07:03.629+05:30,
6,10.215.173.1,45950,57.144.40.141,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,graph.facebook.com,2005,7558,14,13,2026-09-02T14:07:03.633+05:30,2026-09-02T14:07:15.819+05:30,
6,10.215.173.1,45934,57.144.40.141,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,graph.facebook.com,2352,6939,12,11,2026-09-02T14:07:03.635+05:30,2026-09-02T14:07:15.649+05:30,
6,10.215.173.1,45956,57.144.40.141,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,graph.facebook.com,1893,5874,11,10,2026-09-02T14:07:03.637+05:30,2026-09-02T14:07:05.005+05:30,
17,10.215.173.1,32967,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,sfalb.nekki.com,61,303,1,1,2026-09-02T14:07:03.640+05:30,2026-09-02T14:07:03.663+05:30,
6,10.215.173.1,57586,63.188.28.186,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,sfalb.nekki.com,1381,5080,9,10,2026-09-02T14:07:03.666+05:30,2026-09-02T14:07:11.594+05:30,
17,10.215.173.1,44093,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,firebaselogging.googleapis.com,76,204,1,1,2026-09-02T14:07:03.898+05:30,2026-09-02T14:07:03.921+05:30,
6,10.215.173.1,36738,172.217.116.4,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,firebaselogging.googleapis.com,2033,5980,9,8,2026-09-02T14:07:03.927+05:30,2026-09-02T14:07:12.287+05:30,
17,10.215.173.1,24817,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,yandex.com,56,104,1,1,2026-09-02T14:07:03.930+05:30,2026-09-02T14:07:03.952+05:30,
1,10.215.173.1,819,5.255.255.77,0,-1,Unknown,unknown,ICMP,Closed,yandex.com,28,28,1,1,2026-09-02T14:07:03.954+05:30,2026-09-02T14:07:04.166+05:30,
