IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen,Malicious
6,10.215.173.1,38262,5.255.255.77,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,yandex.com,1995,7589,9,8,2026-09-02T14:07:04.181+05:30,2026-09-02T14:07:16.082+05:30,
17,10.215.173.1,17178,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,report.appmetrica.yandex.net,74,90,1,1,2026-09-02T14:07:05.038+05:30,2026-09-02T14:07:05.056+05:30,
6,10.215.173.1,46478,213.180.193.226,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,TLS,Closed,report.appmetrica.yandex.net,3155,4878,12,15,2026-09-02T14:07:05.061+05:30,2026-09-02T14:07:35.354+05:30,
6,10.215.173.1,46482,213.180.193.226,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,TLS,Closed,report.appmetrica.yandex.net,3086,4769,11,13,2026-09-02T14:07:05.987+05:30,2026-09-02T14:07:33.748+05:30,
17,10.215.173.1,48825,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,config.uca.cloud.unity3d.com,74,196,1,1,2026-09-02T14:07:10.571+05:30,2026-09-02T14:07:10.599+05:30,
17,10.215.173.1,18939,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,config.uca.cloud.unity3d.com,74,122,1,1,2026-09-02T14:07:10.574+05:30,2026-09-02T14:07:10.599+05:30,
6,10.215.173.1,55564,34.111.113.40,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,config.uca.cloud.unity3d.com,1620,5749,9,10,2026-09-02T14:07:10.605+05:30,2026-09-02T14:08:11.409+05:30,
17,10.215.173.1,26192,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,fundingchoicesmessages.google.com,79,116,1,1,2026-09-02T14:07:11.193+05:30,2026-09-02T14:07:11.218+05:30,
6,10.215.173.1,36948,142.250.193.14,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,fundingchoicesmessages.google.com,2485,10778,10,10,2026-09-02T14:07:11.222+05:30,2026-09-02T14:07:16.354+05:30,
17,10.215.173.1,33695,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,cdp.cloud.unity3d.com,67,299,1,1,2026-09-02T14:07:11.265+05:30,2026-09-02T14:07:11.286+05:30,
17,10.215.173.1,25804,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,cdp.cloud.unity3d.com,67,228,1,1,2026-09-02T14:07:11.271+05:30,2026-09-02T14:07:11.297+05:30,
6,10.215.173.1,45510,34.107.172.168,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,cdp.cloud.unity3d.com,3228,5619,10,10,2026-09-02T14:07:11.301+05:30,2026-09-02T14:08:11.410+05:30,
17,10.215.173.1,40502,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,sfalb.nekki.com,61,218,1,1,2026-09-02T14:07:11.562+05:30,2026-09-02T14:07:11.581+05:30,
6,10.215.173.1,47536,63.188.28.186,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,sfalb.nekki.com,1201,5391,11,9,2026-09-02T14:07:11.585+05:30,2026-09-02T14:08:12.354+05:30,
17,10.215.173.1,45798,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,swpymo.launches.appsflyersdk.com,78,279,1,1,2026-09-02T14:07:11.704+05:30,2026-09-02T14:07:11.723+05:30,
6,10.215.173.1,51846,13.225.103.64,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,swpymo.launches.appsflyersdk.com,3450,5982,11,10,2026-09-02T14:07:11.730+05:30,2026-09-02T14:07:16.360+05:30,
17,10.215.173.1,22911,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,ec2-18-139-63-38.ap-southeast-1.compute.amazonaws.com,99,115,1,1,2026-09-02T14:07:12.830+05:30,2026-09-02T14:07:12.850+05:30,
6,10.215.173.1,56330,18.139.63.38,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,WebSocket,Closed,ec2-18-139-63-38.ap-southeast-1.compute.amazonaws.com,8195,62449,83,84,2026-09-02T14:07:12.857+05:30,2026-09-02T14:18:26.045+05:30,
17,10.215.173.1,6172,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,stuns.nekki.com,61,240,1,1,2026-09-02T14:07:13.078+05:30,2026-09-02T14:07:13.097+05:30,
17,10.215.173.1,41152,51.38.97.176,3478,10458,Shadow Fight 4,com.nekki.shadowfightarena,STUN,Closed,stuns.nekki.com,216,96,4,1,2026-09-02T14:07:13.114+05:30,2026-09-02T14:07:13.697+05:30,
17,10.215.173.1,41152,51.38.97.177,3479,10458,Shadow Fight 4,com.nekki.shadowfightarena,STUN,Closed,,320,288,6,3,2026-09-02T14:07:13.797+05:30,2026-09-02T14:07:14.450+05:30,
17,10.215.173.1,34088,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,i-sdk.mediation.unity3d.com,73,274,1,1,2026-09-02T14:07:15.273+05:30,2026-09-02T14:07:15.292+05:30,
17,10.215.173.1,54244,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,service.fyber.com,63,108,1,1,2026-09-02T14:07:15.283+05:30,2026-09-02T14:07:15.301+05:30,
17,10.215.173.1,50880,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,gateway-b.offerwall.unity3d.com,77,278,1,1,2026-09-02T14:07:15.287+05:30,2026-09-02T14:07:15.306+05:30,
6,10.215.173.1,44648,99.86.30.4,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,i-sdk.mediation.unity3d.com,2799,12867,11,10,2026-09-02T14:07:15.296+05:30,2026-09-02T14:07:16.371+05:30,
6,10.215.173.1,56606,35.186.238.108,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,service.fyber.com,1880,5741,9,8,2026-09-02T14:07:15.303+05:30,2026-09-02T14:07:16.428+05:30,
6,10.215.173.1,47680,18.66.63.90,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,gateway-b.offerwall.unity3d.com,3365,6874,10,10,2026-09-02T14:07:15.310+05:30,2026-09-02T14:07:15.704+05:30,
6,10.215.173.1,47692,18.66.63.90,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,gateway-b.offerwall.unity3d.com,3587,1294,10,10,2026-09-02T14:07:15.716+05:30,2026-09-02T14:07:16.321+05:30,
17,10.215.173.1,36270,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,o-sdk.mediation.unity3d.com,73,274,1,1,2026-09-02T14:07:15.806+05:30,2026-09-02T14:07:15.821+05:30,
6,10.215.173.1,60842,3.174.255.31,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,o-sdk.mediation.unity3d.com,3118,5763,11,10,2026-09-02T14:07:15.826+05:30,2026-09-02T14:07:16.998+05:30,
6,10.215.173.1,60854,3.174.255.31,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,o-sdk.mediation.unity3d.com,2360,5723,10,9,2026-09-02T14:07:15.829+05:30,2026-09-02T14:07:17.077+05:30,
6,10.215.173.1,60856,3.174.255.31,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,o-sdk.mediation.unity3d.com,2689,5723,10,9,2026-09-02T14:07:15.832+05:30,2026-09-02T14:07:16.917+05:30,
17,10.215.173.1,59505,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,cdn.iads.unity3d.com,66,219,1,1,2026-09-02T14:07:15.891+05:30,2026-09-02T14:07:15.917+05:30,
6,10.215.173.1,51482,18.164.218.209,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,cdn.iads.unity3d.com,1605,18555,13,14,2026-09-02T14:07:15.925+05:30,2026-09-02T14:07:18.441+05:30,
17,10.215.173.1,39115,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,web.facebook.com,62,102,1,1,2026-09-02T14:07:16.005+05:30,2026-09-02T14:07:16.036+05:30,
6,10.215.173.1,49438,57.144.40.141,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,web.facebook.com,4575,10544,11,10,2026-09-02T14:07:16.044+05:30,2026-09-02T14:07:17.389+05:30,
17,10.215.173.1,37427,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,telemetry.tk0x1.com,65,132,1,1,2026-09-02T14:07:16.084+05:30,2026-09-02T14:07:16.113+05:30,
17,10.215.173.1,9347,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,googleads.g.doubleclick.net,73,137,1,1,2026-09-02T14:07:16.094+05:30,2026-09-02T14:07:16.114+05:30,
6,10.215.173.1,53654,35.214.165.164,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,telemetry.tk0x1.com,1522,6234,9,11,2026-09-02T14:07:16.119+05:30,2026-09-02T14:08:16.544+05:30,
6,10.215.173.1,54656,192.178.158.155,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,googleads.g.doubleclick.net,5466,27017,30,32,2026-09-02T14:07:16.123+05:30,2026-09-02T14:08:31.613+05:30,
17,10.215.173.1,62127,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,gateway.unityads.unity3d.com,74,136,1,1,2026-09-02T14:07:16.130+05:30,2026-09-02T14:07:16.147+05:30,
6,10.215.173.1,35172,34.149.76.49,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,gateway.unityads.unity3d.com,8509,15637,15,19,2026-09-02T14:07:16.157+05:30,2026-09-02T14:08:16.550+05:30,
17,10.215.173.1,37324,192.178.158.155,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,QUIC,Closed,googleads.g.doubleclick.net,4219,9097,7,11,2026-09-02T14:07:16.448+05:30,2026-09-02T14:07:16.633+05:30,
6,10.215.173.1,60926,18.164.218.209,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,cdn.iads.unity3d.com,2817,7870,10,11,2026-09-02T14:07:16.465+05:30,2026-09-02T14:08:16.551+05:30,
17,10.215.173.1,20239,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,i-adq.mediation.unity3d.com,73,274,1,1,2026-09-02T14:07:16.614+05:30,2026-09-02T14:07:16.633+05:30,
6,10.215.173.1,59132,99.86.30.42,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,i-adq.mediation.unity3d.com,1869,6378,11,10,2026-09-02T14:07:16.637+05:30,2026-09-02T14:07:23.833+05:30,
17,10.215.173.1,36721,34.149.76.49,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,QUIC,Closed,gateway.unityads.unity3d.com,2875,6388,5,9,2026-09-02T14:07:16.640+05:30,2026-09-02T14:07:16.738+05:30,
17,10.215.173.1,40519,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,ae.iads.unity3d.com,65,266,1,1,2026-09-02T14:07:16.748+05:30,2026-09-02T14:07:16.767+05:30,
6,10.215.173.1,60930,18.164.218.209,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,cdn.iads.unity3d.com,2007,261439,29,49,2026-09-02T14:07:16.759+05:30,2026-09-02T14:07:24.277+05:30,
6,10.215.173.1,60944,18.164.218.209,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,cdn.iads.unity3d.com,1248,10597,10,11,2026-09-02T14:07:16.762+05:30,2026-09-02T14:07:21.508+05:30,
6,10.215.173.1,58044,3.164.85.63,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,ae.iads.unity3d.com,3800,6792,10,9,2026-09-02T14:07:16.772+05:30,2026-09-02T14:08:21.574+05:30,
17,10.215.173.1,25472,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,o-adq.mediation.unity3d.com,73,274,1,1,2026-09-02T14:07:17.014+05:30,2026-09-02T14:07:17.035+05:30,
6,10.215.173.1,59148,99.86.30.42,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,o-adq.mediation.unity3d.com,2066,5792,11,11,2026-09-02T14:07:17.043+05:30,2026-09-02T14:07:24.900+05:30,
6,10.215.173.1,44526,3.174.255.31,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,o-sdk.mediation.unity3d.com,5762,1503,12,11,2026-09-02T14:07:17.913+05:30,2026-09-02T14:07:26.716+05:30,
6,10.215.173.1,33326,5.255.255.77,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,yandex.com,2150,3918,10,10,2026-09-02T14:07:20.659+05:30,2026-09-02T14:07:25.550+05:30,
17,10.215.173.1,60488,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,logs.ads.vungle.com,65,330,1,1,2026-09-02T14:07:20.940+05:30,2026-09-02T14:07:20.962+05:30,
6,10.215.173.1,33392,54.173.83.124,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,logs.ads.vungle.com,2257,6414,17,19,2026-09-02T14:07:20.967+05:30,2026-09-02T14:07:23.719+05:30,
17,10.215.173.1,7456,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,gw1.mediation.unity3d.com,71,312,1,1,2026-09-02T14:07:21.522+05:30,2026-09-02T14:07:21.547+05:30,
6,10.215.173.1,41506,18.164.237.35,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,gw1.mediation.unity3d.com,23333,43027,20,17,2026-09-02T14:07:21.554+05:30,2026-09-02T14:07:25.619+05:30,
17,10.215.173.1,24607,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,ms4.applvn.com,60,76,1,1,2026-09-02T14:07:23.914+05:30,2026-09-02T14:07:23.933+05:30,
6,10.215.173.1,58160,34.102.162.219,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,ms4.applvn.com,4046,15537,10,11,2026-09-02T14:07:23.941+05:30,2026-09-02T14:07:27.853+05:30,
17,10.215.173.1,39488,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,d.applovin.com,60,76,1,1,2026-09-02T14:07:24.349+05:30,2026-09-02T14:07:24.368+05:30,
17,10.215.173.1,56390,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,a4.applovin.com,61,77,1,1,2026-09-02T14:07:24.367+05:30,2026-09-02T14:07:24.391+05:30,
6,10.215.173.1,46162,34.110.179.88,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,d.applovin.com,28048,6585,13,10,2026-09-02T14:07:24.371+05:30,2026-09-02T14:07:29.243+05:30,
6,10.215.173.1,40420,34.117.147.68,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,a4.applovin.com,107609,11232,23,22,2026-09-02T14:07:24.397+05:30,2026-09-02T14:07:30.310+05:30,
17,10.215.173.1,16410,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,rt.applovin.com,61,77,1,1,2026-09-02T14:07:24.878+05:30,2026-09-02T14:07:24.902+05:30,
6,10.215.173.1,40436,34.117.147.68,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,rt.applovin.com,27859,5949,11,10,2026-09-02T14:07:24.910+05:30,2026-09-02T14:07:29.278+05:30,
6,10.215.173.1,40444,34.117.147.68,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,a4.applovin.com,54303,8476,16,15,2026-09-02T14:07:25.311+05:30,2026-09-02T14:07:29.966+05:30,
6,10.215.173.1,33082,192.178.158.155,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,googleads.g.doubleclick.net,8704,52459,17,24,2026-09-02T14:07:27.413+05:30,2026-09-02T14:07:28.850+05:30,
17,10.215.173.1,15642,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,pagead2.googlesyndication.com,75,139,1,1,2026-09-02T14:07:27.999+05:30,2026-09-02T14:07:28.022+05:30,
17,10.215.173.1,31391,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,www.gstatic.com,61,77,1,1,2026-09-02T14:07:28.010+05:30,2026-09-02T14:07:28.031+05:30,
17,10.215.173.1,36072,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,tpc.googlesyndication.com,71,87,1,1,2026-09-02T14:07:28.013+05:30,2026-09-02T14:07:28.042+05:30,
17,10.215.173.1,11835,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,www.googletagservices.com,71,135,1,1,2026-09-02T14:07:28.015+05:30,2026-09-02T14:07:28.042+05:30,
17,10.215.173.1,48531,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,fonts.gstatic.com,63,79,1,1,2026-09-02T14:07:28.029+05:30,2026-09-02T14:07:28.050+05:30,
6,10.215.173.1,42132,192.178.158.94,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,www.gstatic.com,3249,49259,15,21,2026-09-02T14:07:28.035+05:30,2026-09-02T14:08:31.619+05:30,
6,10.215.173.1,51640,142.250.122.132,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,tpc.googlesyndication.com,3817,48758,20,25,2026-09-02T14:07:28.046+05:30,2026-09-02T14:08:31.620+05:30,
6,10.215.173.1,51646,142.250.122.132,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,tpc.googlesyndication.com,1993,1496,5,5,2026-09-02T14:07:28.047+05:30,2026-09-02T14:07:28.134+05:30,
6,10.215.173.1,54124,142.250.29.157,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,www.googletagservices.com,3007,7280,10,9,2026-09-02T14:07:28.049+05:30,2026-09-02T14:08:31.620+05:30,
6,10.215.173.1,51650,142.250.118.94,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,fonts.gstatic.com,2099,6564,6,6,2026-09-02T14:07:28.053+05:30,2026-09-02T14:08:31.622+05:30,
6,10.215.173.1,51660,142.250.122.132,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,TLS,Closed,tpc.googlesyndication.com,100,88,2,2,2026-09-02T14:07:28.101+05:30,2026-09-02T14:07:28.143+05:30,
6,10.215.173.1,51676,142.250.122.132,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,TLS,Closed,tpc.googlesyndication.com,100,88,2,2,2026-09-02T14:07:28.103+05:30,2026-09-02T14:07:28.144+05:30,
6,10.215.173.1,51692,142.250.122.132,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,TLS,Closed,tpc.googlesyndication.com,100,88,2,2,2026-09-02T14:07:28.106+05:30,2026-09-02T14:07:28.145+05:30,
17,10.215.173.1,4391,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,lh3.googleusercontent.com,71,116,1,1,2026-09-02T14:07:28.192+05:30,2026-09-02T14:07:28.218+05:30,
6,10.215.173.1,40184,192.178.158.132,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,lh3.googleusercontent.com,3581,41058,22,21,2026-09-02T14:07:28.223+05:30,2026-09-02T14:08:31.622+05:30,
17,10.215.173.1,39374,192.178.158.156,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,QUIC,Closed,pagead2.googlesyndication.com,5524,9919,16,19,2026-09-02T14:07:28.325+05:30,2026-09-02T14:07:28.536+05:30,
17,10.215.173.1,30675,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,o-iab-notifications.mediation.unity3d.com,87,288,1,1,2026-09-02T14:07:28.698+05:30,2026-09-02T14:07:28.717+05:30,
6,10.215.173.1,40964,3.174.255.31,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,o-sdk.mediation.unity3d.com,3553,5723,9,9,2026-09-02T14:07:28.713+05:30,2026-09-02T14:08:31.622+05:30,
6,10.215.173.1,40968,3.174.255.31,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,o-sdk.mediation.unity3d.com,3231,5843,12,12,2026-09-02T14:07:28.719+05:30,2026-09-02T14:07:48.652+05:30,
6,10.215.173.1,57392,13.225.103.5,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Error,o-iab-notifications.mediation.unity3d.com,1768,5752,11,10,2026-09-02T14:07:28.721+05:30,2026-09-02T14:07:32.630+05:30,
6,10.215.173.1,33098,192.178.158.155,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,googleads.g.doubleclick.net,2639,2087,7,8,2026-09-02T14:07:29.084+05:30,2026-09-02T14:07:29.418+05:30,
17,10.215.173.1,59719,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,hbevents-public.mz.unity3d.com,76,92,1,1,2026-09-02T14:07:29.371+05:30,2026-09-02T14:07:29.391+05:30,
6,10.215.173.1,48304,34.54.145.187,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,hbevents-public.mz.unity3d.com,1712,5545,7,7,2026-09-02T14:07:29.395+05:30,2026-09-02T14:08:31.623+05:30,
17,10.215.173.1,5468,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,w.isx.unity3d.com,63,264,1,1,2026-09-02T14:07:29.914+05:30,2026-09-02T14:07:29.941+05:30,
6,10.215.173.1,43472,54.192.142.104,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,w.isx.unity3d.com,1467,5714,9,9,2026-09-02T14:07:29.948+05:30,2026-09-02T14:08:31.623+05:30,
17,10.215.173.1,18102,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,events.ads.vungle.com,67,332,1,1,2026-09-02T14:07:30.313+05:30,2026-09-02T14:07:30.347+05:30,
6,10.215.173.1,53826,3.226.176.24,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,events.ads.vungle.com,2169,5989,8,9,2026-09-02T14:07:30.355+05:30,2026-09-02T14:07:31.668+05:30,
17,10.215.173.1,51143,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,vg-new-hb-bid-feedback.mtgglobals.com,83,316,1,1,2026-09-02T14:07:31.355+05:30,2026-09-02T14:07:31.382+05:30,
6,10.215.173.1,46640,47.89.148.183,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,vg-new-hb-bid-feedback.mtgglobals.com,1512,5244,10,10,2026-09-02T14:07:31.389+05:30,2026-09-02T14:07:47.653+05:30,
17,10.215.173.1,18578,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,firebaselogging-pa.googleapis.com,79,207,1,1,2026-09-02T14:07:44.915+05:30,2026-09-02T14:07:44.941+05:30,
6,10.215.173.1,51112,172.217.119.4,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,firebaselogging-pa.googleapis.com,2473,5997,7,7,2026-09-02T14:07:44.951+05:30,2026-09-02T14:08:51.690+05:30,
17,10.215.173.1,58124,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,o-adq.mediation.unity3d.com,73,274,1,1,2026-09-02T14:09:17.515+05:30,2026-09-02T14:09:17.562+05:30,
6,10.215.173.1,60642,99.86.30.29,443,10458,Shadow Fight 4,com.nekki.shadowfightarena,HTTPS,Closed,o-adq.mediation.unity3d.com,1928,5672,8,8,2026-09-02T14:09:17.575+05:30,2026-09-02T14:10:17.338+05:30,
17,10.215.173.1,57831,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,cdp.cloud.unity3d.com,67,228,1,1,2026-09-02T14:12:10.733+05:30,2026-09-02T14:12:10.766+05:30,
17,10.215.173.1,7499,10.215.173.2,53,10458,Shadow Fight 4,com.nekki.shadowfightarena,DNS,Closed,cdp.cloud.unity3d.com,67,299,1,1,2026-09-02T14:12:10.738+05:30,2026-09-02T14:12:10.771+05:30,
